query,correct
quy định deiều kieện đầu tư kinh doanh,quy định điều kiện đầu tư kinh doanh
ủy ban nhân dân thanh phố,ủy ban nhân dân thành phố
đề xuất dự ásn đầu tư hạj tầng kỹ thuật,đề xuất dự án đầu tư hạ tầng kỹ thuật
thông tư sỗ 41/2015/tt-btc của bộ tài chính,thông tư số 41/2015/tt-btc của bộ tài chính
công trình phòng chống lụt ão,công trình phòng chống lụt bão
qy hoạch kiến trúc,quy hoạch kiến trúc
phê duyệt báo cáo tài cchính,phê duyệt báo cáo tài chính
phưwngán phân phối lợi nhuận sau thuế,phương án phân phối lợi nhuận sau thuế
cập nhậg chỉnh lý hồ so địa chính,cập nhật chỉnh lý hồ sơ địa chính
jồ sơ địa chính,hồ sơ địa chính
dưwj án xây dựng cầu vượt,dự án xây dựng cầu vượt
tài liệu bản đoồ,tài liệu bản đồ
cấp ggiấy phép quy hoạch,cấp giấy phép quy hoạch
thẩm đinh đề xuất dự án xây dựng,thẩm định đề xuất dự án xây dựng
công trình trung tâm friển lãm qut hoạch thành phố,công trình trung tâm triển lãm quy hoạch thành phố
kiểm tra hoạt động của doanh nghiệp,kiểm tra hoạt động của doanh nghiệp
thủ tục đăng ký danh mục ự án,thủ tục đăng ký danh mục dự án
hê duyệt kế hoậch lựa chọn nhà thầu dự án,phê duyệt kế hoạch lựa chọn nhà thầu dự án
thiết kế đô thhị riêng,thiết kế đô thị riêng
dự án xây dựng thaythế khối điều trik nội trú,dự án xây dựng thay thế khối điều trị nội trú
chương trìnhbình ổn thị trường,chương trình bình ổn thị trường
các mặt hàng lương thực thwjc phẩm thiết yếu,các mặt hàng lương thực thực phẩm thiết yếu
caqsp giấy chứng nhận quyeền sử dụng đất,cấp giấy chứng nhận quyền sử dụng đất
giiải quyết hồ sơ,giải quyết hồ sơ
cơ cấuu sử dụng đất,cơ cấu sử dụng đất
keea hoạch cung cấp nước sạch năm 2016,kế hoạch cung cấp nước sạch năm 2016
công tác phòng chống thamm nhũng naqm 2016,công tác phòng chống tham nhũng năm 2016
sửa chữa đuờng phú định quận 8,sửa chữa đường phú định quận 8
sử dụng kinh phí sở công thưoeng năm 2016,sử dụng kinh phí sở công thương năm 2016
thu ohí sử dụng đường bộ đối với xe mô tô,thu phí sử dụng đường bộ đối với xe mô tô
kinh phí thông tn xúc tiến 2016,kinh phí thông tin xúc tiến năm 2016
ngân sách thàjh phố ,ngân sách thành phố 
đề nghi hỗ trợ kinh phí,đề nghị hỗ trợ kinh phí
việc cấp nước cho trươwfng học,việc cấp nước cho trường học
thay đổi phương ánn xử lý nhàf đất,thay đổi phương án xử lý nhà đất
