query,correct
quy dinh dieu kien dau tu kinh doanh,quy định điều kiện đầu tư kinh doanh
uy ban nhan dan thanh pho,ủy ban nhân dân thành phố
de xuat du an dau tu ha tang ky thuat,đề xuất dự án đầu tư hạ tầng kỹ thuật
thong tu so 41/2015/tt-btc cua bo tai chinh,thông tư số 41/2015/tt-btc của bộ tài chính
cong trinh phong chong lut bao,công trình phòng chống lụt bão
quy hoach kien truc,quy hoạch kiến trúc
phe duyet bao cao tai chinh,phê duyệt báo cáo tài chính
phuong an phan phoi loi nhuan sau thue,phương án phân phối lợi nhuận sau thuế
cap nhat chinh ly ho so dia chinh,cập nhật chỉnh lý hồ sơ địa chính
ho so dia chinh,hồ sơ địa chính
du an xay dung cau vuot,dự án xây dựng cầu vượt
tai lieu ban do,tài liệu bản đồ
cap giay phep quy hoach,cấp giấy phép quy hoạch
tham dinh de xuat du an xay dung,thẩm định đề xuất dự án xây dựng
cong trinh trung tam trien lam quy hoach thanh pho,công trình trung tâm triển lãm quy hoạch thành phố
kiem tra hoat dong cua doanh nghiep,kiểm tra hoạt động của doanh nghiệp
thu tuc dang ky danh muc du an,thủ tục đăng ký danh mục dự án
phe duyet ke hoach lua chon nha thau du an,phê duyệt kế hoạch lựa chọn nhà thầu dự án
thiet ke do thi rieng,thiết kế đô thị riêng
du an xay dung thay the khoi dieu tri noi tru,dự án xây dựng thay thế khối điều trị nội trú
chuong trinh binh on thi truong,chương trình bình ổn thị trường
cac mat hang luong thuc thuc pham thiet yeu,các mặt hàng lương thực thực phẩm thiết yếu
cap giay chung nhan quyen su dung dat,cấp giấy chứng nhận quyền sử dụng đất
giai quyet ho so,giải quyết hồ sơ
co cau su dung dat,cơ cấu sử dụng đất
ke hoach cung cap nuoc sach nam 2016,kế hoạch cung cấp nước sạch năm 2016
cong tac phong chong tham nhung nam 2016,công tác phòng chống tham nhũng năm 2016
sua chua duong phu dinh quan 8,sửa chữa đường phú định quận 8
su dung kinh phi so cong thuong nam 2016,sử dụng kinh phí sở công thương năm 2016
thu phi su dung duong bo doi voi xe mo to,thu phí sử dụng đường bộ đối với xe mô tô
kinh phi thong tin xuc tien nam 2016,kinh phí thông tin xúc tiến năm 2016
ngan sach thanh pho ,ngân sách thành phố 
de nghi ho tro kinh phi,đề nghị hỗ trợ kinh phí
viec cap nuoc cho truong hoc,việc cấp nước cho trường học
thay doi phuong an xu ly nha dat,thay đổi phương án xử lý nhà đất
thong tu so 178/2016/tt-btc cua bo tai chinh,thông tư số 178/2016/tt-btc của bộ tài chính
bo quy tac ung xu danh cho khach quoc te,bộ quy tắc ứng xử dành cho khách quốc tế
hoi nghi “xuc tien dau tu vao tinh ca mau”,hội nghị “xúc tiến đầu tư vào tỉnh cà mau”
gop y du thao thong tu cua bo tai chinh,góp ý dự thảo thông tư của bộ tài chính
phat dong thi truong,phát động thị trường
ho tro kinh phi,hỗ trợ kinh phí
hach toan tai san,hạch toán tài sản
du an hop tac ky thuat,dự án hợp tác kỹ thuật
can bo quan doi,cán bộ quân đội
phat trien thi truong,phát triển thị trường
khoa hoc va cong nghe,khoa học và công nghệ
nguon kinh phi,nguồn kinh phí
cai cach tien luong,cải cách tiền lương
tu bo ton tao di tich,tu bổ tôn tạo di tích
rac tai cac tuyen kenh,rác tại các tuyến kênh
tuan le thu gom chat thai,tuần lễ thu gom chất thải
cai cach hanh chinh,cải cách hành chính
phan mem quan ly,phần mềm quản lý
co so du lieu,cơ sở dữ liệu
khi tuong thuy van,khí tượng thủy văn
ke hoach thu nhan anh vien tham nam 2017,kế hoạch thu nhận ảnh viễn thám năm 2017
thu gom chat thai ran,thu gom chất thải rắn
lien ket dao tao,liên kết đào tạo
boi thuong hoan doi dat,bồi thường hoán đổi đất
tai khoan nop ngan sach,tài khoản nộp ngân sách
boi thuong cac khu dat,bồi thường các khu đất
cong trinh ha tang,công trình hạ tầng
chi thi 10/2013/ct-ubndtp,chỉ thị 10/2013/ct-ubndtp
ho so dang ky,hồ sơ đăng ký
bo tai chinh,bộ tài chính
hoan doi nha dat,hoán đổi nhà đất
bao hiem xa hoi,bảo hiểm xã hội
su dung xe cong,sử dụng xe công
quy ho tro sap xep doanh nghiep,quỹ hỗ trợ sắp xếp doanh nghiệp
quan ly nuoc sach,quản lý nước sạch
nhap du lieu ly lich tu phap,nhập dữ liệu lý lịch tư pháp
cong tac dac xa nam 2016,công tác đặc xá năm 2016
du toan kinh phi dao tao,dự toán kinh phí đào tạo
so noi vu,sở nội vụ
thu tuong chinh phu,thủ tướng chính phủ
xu ly vi pham hanh chinh,xử lý vi phạm hành chính
thanh tra chuyen de,thanh tra chuyên đề
xin gia han thoi gian,xin gia hạn thời gian
co so san xuat,cơ sở sản xuât
bao ve moi truong,bảo vệ môi trường
binh xet thi dua nam 2016,bình xét thi đua năm 2016
